Product name,Product description,Quantity,Product unit price,Product Total price,Product running total.,Product link
Raspberry Pi Zero 2W,"Main computer, runs satellite tracking software",1,dh177.21,dh177.21,dh177.21,https://www.amazon.ae/Raspberry-Pi-Zero-WH-Pre-Soldered/dp/B0DB2JBD9C/ref=sr_1_1_mod_primary_new?crid=1OSUA6DQBT7P2&dib=eyJ2IjoiMSJ9.ZyQh5VWDbNvc-3bPGekkpGUGnhyxL0GaxnyMABEYnT4fkvjdhDhzNH6JOqq3vV7OY7-HaVZZDXdiZL3mJ7Nj44iwGdH5JPV1equW1WfnRuhdAadgayCuCOZfbRiXG8QbRP2wSXn48RqwZuYBVjeifO2jkUQEJ3RYmUQnmHpbxgbytVbx_WoONKfD8AfhfUNX_IzgVy_frGaIChqXT88cWciL8jHX9pwHzUG4WgNuPF_1Qnk5SmYmZZPiGI03jj336Jc8lewPuRUuQAcLsGkpoLK6yLmO-hH5qy9xM69ftaA.3EqJPZ6m28o8Rsh8sv2g6IucW9mXTvgvFR9WoSH-0SQ&dib_tag=se&keywords=Raspberry+Pi+Zero+2W&qid=1778439743&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=raspberry+pi+zero+2w%2Caps%2C201&sr=8-1
 2.4 NO TOUCH ILI9341,display 2.4 NO TOUCH ILI9341,1,dh30.85,dh30.85,dh208.06,https://ar.aliexpress.com/item/1005006624846563.html?spm=a2g0o.productlist.main.44.5856PPKLPPKLT7&algo_pvid=b05e446f-c44d-42ab-b36c-0811fa3adfd7&algo_exp_id=b05e446f-c44d-42ab-b36c-0811fa3adfd7-41&pdp_ext_f=%7B%22order%22%3A%22784%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%2130.85%2113.82%21%21%2155.46%2124.84%21%40213ba8cc17784401886601417e31cf%2112000037855387989%21sea%21AE%216550317333%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895%3BpisId%3A5000000205015037&curPageLogUid=DswO6lagaiex&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006624846563%7C_p_origin_prod%3A#nav-specification
WS2812B LED STRIP,LED STRIP FOR ALERTING 1M,1,dh9.42,dh9.42,dh217.48,https://ar.aliexpress.com/item/1005010130540407.html?spm=a2g0o.productlist.main.59.5e673DFf3DFflm&algo_pvid=c2e49273-38a7-41eb-b050-6c95b4e7a64a&algo_exp_id=c2e49273-38a7-41eb-b050-6c95b4e7a64a-58&pdp_ext_f=%7B%22order%22%3A%22781%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%2115.71%219.14%21%21%2128.13%2116.36%21%402140e67317811177636533796ee627%2112000051302148167%21sea%21AE%216550317333%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895%3BpisId%3A5000000207250657&curPageLogUid=dmfsCyLKO4LU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010130540407%7C_p_origin_prod%3A
TP4056 LiPo charger IC,Charges LiPo battery from USB-C 5PCS-TP4056,1,dh4.50,dh4.50,dh221.98,https://ar.aliexpress.com/item/32879731952.html?spm=a2g0o.productlist.main.5.dae4bP7ZbP7Z4h&algo_pvid=e80b0860-a281-480a-814d-1b4b4d25beeb&algo_exp_id=e80b0860-a281-480a-814d-1b4b4d25beeb-4&pdp_ext_f=%7B%22order%22%3A%2240%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%214.50%214.50%21%21%211.19%211.19%21%40210123bc17784312399344317e73ed%2112000034328158270%21sea%21AE%216550317333%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895&curPageLogUid=jYcawr7eByAd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32879731952%7C_p_origin_prod%3A
MT3608 boost converter,Boosts 3.7V battery to 5V for Pi 10pcs,1,dh7.11,dh7.11,dh229.09,https://ar.aliexpress.com/item/1005008853748359.html?spm=a2g0o.productlist.main.27.3de667a18Vp5oD&algo_pvid=95bbc433-cbd8-49dc-a640-2ebc1172dc21&algo_exp_id=95bbc433-cbd8-49dc-a640-2ebc1172dc21-26&pdp_ext_f=%7B%22order%22%3A%2277%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%217.11%217.11%21%21%2112.79%2112.79%21%40212a6e2917784314707737891e3a83%2112000046953414150%21sea%21AE%216550317333%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895&curPageLogUid=QX7dJcdpuYRy&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008853748359%7C_p_origin_prod%3A
74AHCT125 level shifter,Converts 3.3V Pi signal to 5V for LEDs 5 pieces,1,dh1.37,dh1.37,dh230.46,https://ar.aliexpress.com/item/1005007252553002.html?spm=a2g0o.productlist.main.1.225bPHQRPHQRHK&algo_pvid=c28750c9-43ed-4510-bfbd-090d41178305&algo_exp_id=c28750c9-43ed-4510-bfbd-090d41178305-0&pdp_ext_f=%7B%22order%22%3A%22504%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%2116.08%215.15%21%21%2128.91%219.25%21%4021015b7d17784317214186785eace7%2112000039953544678%21sea%21AE%216550317333%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895&curPageLogUid=aYOZCnD8Argf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007252553002%7C_p_origin_prod%3A
LiPo battery 2000mAh,Rechargeable battery for portable use 1 pcs,1,dh13.88,dh13.88,dh244.34,https://ar.aliexpress.com/item/1005002919536938.html?spm=a2g0o.productlist.main.5.4933ZBG5ZBG5eb&algo_pvid=b6278154-af62-43c5-948d-5c5241369326&algo_exp_id=b6278154-af62-43c5-948d-5c5241369326-4&pdp_ext_f=%7B%22order%22%3A%221280%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%2120.43%2113.88%21%21%215.40%213.67%21%40210156fc17784316247445680e9560%2112000028368881594%21sea%21AE%216550317333%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895&curPageLogUid=qLuBs2UyvfCN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002919536938%7C_p_origin_prod%3A
USB-C connector,Power input port 10 pcs,1,dh11.88,dh11.88,dh256.22,https://ar.aliexpress.com/item/1005012104226670.html?spm=a2g0o.productlist.main.1.49acZITeZITezG&algo_pvid=f536d3f8-267e-453b-9ee4-b96862a37649&algo_exp_id=f536d3f8-267e-453b-9ee4-b96862a37649-0&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%2112.25%2111.88%21%21%2122.03%2121.37%21%402101062a17784317946087891ede52%2112000057528080530%21sea%21AE%216550317333%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895&curPageLogUid=KTklFuhYzL9x&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012104226670%7C_p_origin_prod%3A
JST PH 2.0 connector,Battery connection to PCB 10PCS,1,dh14.39,dh14.39,dh270.61,https://ar.aliexpress.com/item/1005008142013739.html?spm=a2g0o.productlist.main.1.5b68aiL6aiL6nu&algo_pvid=23524120-81c3-475d-a960-fb8723a7fd32&algo_exp_id=23524120-81c3-475d-a960-fb8723a7fd32-0&pdp_ext_f=%7B%22order%22%3A%2211%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AED%2114.39%2114.39%21%21%2125.87%2125.87%21%40212a70c017784319385806915e77eb%2112000043966912221%21sea%21AE%216550317333%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9c10be3c%3Bm03_new_user%3A-29895&curPageLogUid=xpRA092D5GlK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008142013739%7C_p_origin_prod%3A
Rotary encoder EC11,Scroll and select satellites 5pcs,1,dh12.83,dh12.83,dh283.44,https://www.aliexpress.com/item/1005010452780913.html
